category,name,estimate,true,squared_error
scalar,beta,0.0,-0.3,0.09
scalar,xi,0.0,0.0,0.0
scalar,eta,0.0,0.3,0.09
metric,final_loss,0.5942713645910691,,
metric,field_rmse,0.707754089721391,,
metric,interaction_fro_error,0.0,,
metric,penalized_objective,0.6008072130656941,,
metric,mple_loss_without_penalty,0.5942713645910691,,
metric,lambda_uv_ridge,0.005,,
metric,u_frobenius_norm,1.4142135623730951,,
metric,v_frobenius_norm,140.14111400992533,,
metric,effective_rank,50.0,,
latent_diagnostic,estimated_field_max_abs_entry,5.060435750140546,,
latent_diagnostic,estimated_field_rank,50.0,1.0,
latent_diagnostic,true_field_max_abs_entry,4.4476018330732865,,
latent_diagnostic,true_field_rank,3.0,,
