experiment_name,descriptor,variant_name,variant_slug,optimizer_mode,field_mode,latent_rank,lambda_nuclear,lambda_frobenius,lambda_uv_ridge,fixed_scalar_params,ranking_mode,rank_in_experiment,is_best,total_recovery_rmse,final_loss,field_rmse,interaction_fro_error,optimizer_status,beta_abs_error,xi_abs_error,eta_abs_error,estimated_field_max_abs_entry,estimated_field_rank,true_field_max_abs_entry,true_field_rank
hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,nuclear_lambda_12e_2,nuclear_lambda_12e_2,nuclear_norm,random_low_rank,0,0.12,0.0,0.0,{},total_recovery_rmse,1,True,0.04676635046315908,0.5175584006920368,0.0,0.3598436172558953,CONVERGED: proximal objective tolerance reached,0.00517828191408698,0.03810404885214813,0.003484019696923968,0.0,0,0.0,0
hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,zero_external_field,zero_external_field,no_external_field,random_low_rank,0,0.0,0.0,0.0,{},total_recovery_rmse,2,False,0.04676661914798147,0.5175584006920362,0.0,0.3598457623931272,Optimization terminated successfully.,0.005178318671514803,0.03810427600197086,0.003484024474495806,0.0,0,0.0,0
hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,nuclear_lambda_1e_1,nuclear_lambda_1e_1,nuclear_norm,random_low_rank,0,0.1,0.0,0.0,{},total_recovery_rmse,3,False,0.04682456147098649,0.5175483496831172,5.625313920351325e-05,0.3598591181546384,CONVERGED: proximal objective tolerance reached,0.005178348440296188,0.03810569025128552,0.003484269640201265,0.0005997737646407609,6,0.0,0
hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,nuclear_lambda_8e_2,nuclear_lambda_8e_2,nuclear_norm,random_low_rank,0,0.08,0.0,0.0,{},total_recovery_rmse,4,False,0.09404652815156764,0.4995428784053503,0.04341448701299903,0.39789416473479766,CONVERGED: proximal objective tolerance reached,0.004989805724496477,0.04213324334236479,0.003508992071707351,0.3065544442748916,53,0.0,0
hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,alternating_rank_2,alternating_rank_2,alternating_latent_rank,random_low_rank,2,0.0,0.0,10.0,{},total_recovery_rmse,5,False,0.16913082492846254,0.5072339754154377,0.11889046294482696,0.44495130708164693,CONVERGED: alternating objective tolerance reached,0.0020899467315887432,0.04711615137474967,0.001034263877297159,0.815930931513841,2,0.0,0
hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,concurrent_rank_2,concurrent_rank_2,concurrent_latent_rank,random_low_rank,2,0.0,0.0,10.0,{},total_recovery_rmse,6,False,0.17216619261042432,0.5072061141877945,0.1195448024357798,0.46493416350986766,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.002409617961760646,0.04923214760487016,0.0009796246080137072,0.8490298129389872,2,0.0,0
hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,alternating_rank_10,alternating_rank_10,alternating_latent_rank,random_low_rank,10,0.0,0.0,18.0,{},total_recovery_rmse,7,False,0.18452863285680618,0.4871342681830913,0.13035087596657727,0.49254222773157985,CONVERGED: alternating objective tolerance reached,0.0014578245820764946,0.052155581500515025,0.0005643508076373926,0.8375146325439963,10,0.0,0
hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,concurrent_rank_10,concurrent_rank_10,concurrent_latent_rank,random_low_rank,10,0.0,0.0,18.0,{},total_recovery_rmse,8,False,0.18638430749379153,0.4872178822185704,0.13009928798646347,0.5147842689235653,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0016898753401549116,0.05451080411253162,8.43400546415296e-05,0.8412373223808398,10,0.0,0
hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,alternating_rank_5,alternating_rank_5,alternating_latent_rank,random_low_rank,5,0.0,0.0,14.0,{},total_recovery_rmse,9,False,0.19730126087198863,0.4962614970337551,0.14076528284469947,0.524449463852405,CONVERGED: alternating objective tolerance reached,0.0003417546246419767,0.05553425719624194,0.0006599662064052381,1.0884481048070092,5,0.0,0
hybrid_us_county_intervention_uscounty_graph_base,hybrid_us_county_intervention_uscounty_graph_base,concurrent_rank_5,concurrent_rank_5,concurrent_latent_rank,random_low_rank,5,0.0,0.0,14.0,{},total_recovery_rmse,10,False,0.19877847444803642,0.4963563166889645,0.14033145541979242,0.5251409660922807,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0014102645756411403,0.05560748076855515,0.001429273684047716,1.089603568532436,5,0.0,0
