category,name,estimate,true,squared_error
scalar,beta,0.0,-0.3,0.09
scalar,xi,0.0,0.8,0.6400000000000001
scalar,eta,0.0,0.3,0.09
metric,final_loss,0.4468128374011473,,
metric,field_rmse,0.8235938868221835,,
metric,interaction_fro_error,2.8341935468885127,,
metric,penalized_objective,0.47557792167538543,,
metric,mple_loss_without_penalty,0.4468128374011473,,
metric,lambda_uv_ridge,0.01,,
metric,u_frobenius_norm,2.4494897427831774,,
metric,v_frobenius_norm,208.14140972493882,,
metric,effective_rank,50.0,,
latent_diagnostic,estimated_field_max_abs_entry,4.922306320839803,,
latent_diagnostic,estimated_field_rank,50.0,3.0,
latent_diagnostic,true_field_max_abs_entry,4.4476018330732865,,
latent_diagnostic,true_field_rank,3.0,,
